title,review_score,review_summary,review_text,description,authors,publisher,categories
Golden Fox,5.0,Golden Fox,Up to the good standards of Wilbur Smith. I thouroughly enjoyed every page I read. A must read for wilbur smith fans.,"When John Stafford, a young man from a wealthy Philadelphia family, graduates from college in the 1860s, he ventures to the lawless Northwest to satisfy his basic urge to put himself to the test in meeting the challenges of a trying environment. Adventure is what he seeks, and adventure is what he gets. Stafford experiences many turbulent twists and turns in his life. He marries, Little Dove, a beautiful Indian woman of Hidatsa descent. He is accepted into her tribe following his ingenious strategy to defeat his wife's wrathful Blackfeet suitor. And Stafford accepts a request by President Abraham Lincoln to form a highly proficient clandestine fighting force to help the Indians defend themselves against the widespread tyranny. His skilled force consists of several relatives and close friends—black as well as white, male and female, along with a number of Native Americans. Their exploits involve confrontations with river pirates, whisky peddlers, a tragic massacre by unauthorized military action an Indian reprisal, and a marauding gang of cutthroats.",['Frank R. Kowalski'],Trafford Publishing,['Fiction']
"The Birds' Christmas Carol,",5.0,Times past,"My sister is so sentimental that she is going to love this story. I got it to give to her when the opportunity arises...read it myself in the meantime. It's geared toward children, but has a message about sharing and doing what we can to help others. The little girl in the story is sweet and thoughtful and a good role model. Cute story, if a bit sad at times.",Holiday stories.,['Kate Douglas Smith Wiggin'],,['Birds']
Live and let die,3.0,"Fleming's action sequences shine, but novel not as timeless as Bond's debut - 3.5 Stars","Live and Let Die, Fleming's second novel featuring James Bond, wastes no time establishing setting or character. Diving immediately into the action, Fleming sets the template for Bond's adventures to come, particularly on the big screen -- globe-trotting, exotic locales, beautiful women, and intense, oft-times over-the-top, action sequences. Here Bond is sent to New York for a joint operation with American CIA operative Felix Leiter, an ally from Bond's Casino Royale days. They are tasked with uncovering the source of the smuggled gold a Mr. Big is funneling through his vast criminal network, funding operations for the likes of SMERSH. But Mr. Big's reach, and the lengths he'll go to in order to maintain control on his criminal operations, are more powerful and extensive than Bond ever imagined. When Big's henchmen strike a lethal blow, Bond's single-minded resolve to exact vengeance places him in unimaginable danger, and his drive for revenge threatens to blind him to the coolly lethal mastermind's greatest weapon -- the most dangerous denizens of the sea itself.First published in 1954, Fleming's second Bond novel unfortunately does not stand the test of time nearly as well as its predecessor. Because here Bond's nemesis is Mr. Big and his vast criminal network, the African-American community is featured prominently throughout the novel -- and as such Fleming heavily showcases racial attitudes and language that, while it may have been more acceptable during the 1950s, is at the very least jarring to modern readers. Mr. Big fares best here -- as an arch-villain, extremely capable and over-the-top in the best Bond tradition, but his compatriots have aged less favorably, tending towards a hodge-podge of cheap stereotypes. If Fleming had managed to curb his propensity for over-the-top dialect and negative African-American stereotyping, this novel's suspense plotline, no matter how wildly outlandish, would be given freer range to shine unencumbered.If one can manage to keep the novel within the context of the time in which it was published, roughly a third of the way through the book Fleming (mostly) trades in his unfortunate stereotyping for some really well-done action sequences and nail-biting tension in keeping with the spirit of Bond's debut. I was particularly impressed with Bond's tense introduction to Mr. Big and subsequent escape, and the novel's climatic moment which finds Bond and Solitaire dragged through coral-rich waters as live shark bait. As in Casino Royale, I was once again struck by Fleming's economy of language, his sharp-edged prose that colors his narrative with tension and keeps the reader engaged.As an American I also found Fleming's rather...acerbic view of the country interesting, to say the least, but this was tempered by the presence of Felix Leiter, my favorite recurring supporting character in the series thus far. I was quite honestly horrified by Felix's fate midway through the novel, but this was somewhat tempered by the resulting exhibition of Bond's loyalty and drive to see one of his few friends avenged. Bond is by no means a consistently well-rounded or progressive character -- first and foremost he is the ""blunt instrument"" of MI6 -- but thus far in the series I've been favorably impressed by the subtle shades of fallibility that colors his character on the page. There's a brilliant, self-reflective passage about halfway through the book where Bond ruminates on the fragility of life -- and it's brief flashes of humanity, of vulnerability, that bring to mind Craig, my favorite screen Bond.While the racial overtones of Mr. Big and his henchmen date this installment in the Bond series rather poorly, if one can read this strictly as a product of its creator and the time (for good or ill) in which he lived, Fleming delivers some rollicking action sequences and unexpected moments of self-reflection that make fascinating additions to one's knowledge of the Bond canon.",,,,
Thaddeus Stevens,4.0,Well Researched,"This book is apparently very well researched -- only 245 pages on the life of Mr. Stevens and 117 pages of Notes and Bibliography. A bit dry -- reads more like a text book but I learned a lot. Knew very little about this man but after seeing Tommy Lee Jones' portrayal in LINCOLN, I had to learn more. Would have loved if the book contained a bit more of Steven's actual speeches and cutting comments. Writing not up to the quality of Doris Kearns Goodwin, author of the must read &#34;A TEAM OF RIVALS.&#34;","A “powerful” (The Wall Street Journal) biography of one of the 19th century’s greatest statesmen, encompassing his decades-long fight against slavery and his postwar struggle to bring racial justice to America. Thaddeus Stevens was among the first to see the Civil War as an opportunity for a second American revolution—a chance to remake the country as a genuine multiracial democracy. As one of the foremost abolitionists in Congress in the years leading up to the war, he was a leader of the young Republican Party’s radical wing, fighting for anti-slavery and anti-racist policies long before party colleagues like Abraham Lincoln endorsed them. These policies—including welcoming black men into the Union’s armies—would prove crucial to the Union war effort. During the Reconstruction era that followed, Stevens demanded equal civil and political rights for Black Americans—rights eventually embodied in the 14th and 15th amendments. But while Stevens in many ways pushed his party—and America—towards equality, he also championed ideas too radical for his fellow Congressmen ever to support, such as confiscating large slaveholders’ estates and dividing the land among those who had been enslaved. In Thaddeus Stevens, acclaimed historian Bruce Levine has written a “vital” (The Guardian), “compelling” (James McPherson) biography of one of the most visionary statesmen of the 19th century and a forgotten champion for racial justice in America.",['Bruce Levine'],Simon and Schuster,['Biography & Autobiography']
God is My Co-Pilot,5.0,Great service,Received product as was described by seller in time described by seller.Would buy from this seller again.,,['Robert Lee Scott (Jr.)'],,['Fighter pilots']
Mysteries of John,5.0,I love it,"I am on my way to read the book, it not weighed and look nice, I do love it. it exactelly what I was looking for",,,,
Death of a Stranger (William Monk Series),5.0,The seamier side of life,"This novel is set in London, England, in the early 1860s. The Civil War is being fought in the United States while life goes on as usual in England. The situation described in the novel was usual for that time period, and is similar to the real circumstances that prevailed in my hometown, at that time a notorious sailing port in the U.S., during the later 19th century - a reformer trying to clean up the town soon discovered that most of the &quot;good citizens&quot; were getting their share of the pie, the prostitutes paid in cash and were a mainstay of the town's economy (see &quot;Port Townsend - An Illustrated History of Shanghaiing, Shipwrecks, Soiled Doves, and Sundry Souls&quot;).Hester Monk (who had been a nurse in the Crimea) operates an infirmary in a lower class neighborhood, offering medical services to the ladies of the evening who are suffering from injuries and diseases. Her husband, William Monk, is involved in an investigation of possible financial wrongdoing among the principals of a railroad company. The death of a &quot;respectable&quot; man outside a bordello in the area creates a turmoil and eventually events are drawn together.Circumstances reveal a brutal form of loan sharking. William's investigation brings out information about his past - he was not always a nice person. Past relationships are revealed as the case draws to a conclusion. Overall, an interesting plot, with a good picture of the underside of Victorian London.","The tragic death of a railway magnate in a sleazy brothel has shocked high society. Meanwhile, private investigator William Monk acquires a mysterious new client who asks him to ascertain beyond the shadow of a doubt whether or not her fiancé, a railway-firm executive, has become enmeshed in fraudulent practices. And so Monk embarks upon a journey that will revive memories stripped from his consciousness by amnesia—as a past almost impossible to bear returns, eerily paralleling a fresh tragedy that has already begun its inexorable unfolding.",['Anne Perry'],William Monk,['Fiction']
Beyond Justice: The Auschwitz Trial,5.0,There could be no adequate Justice,Excellent portrayal of all of the reasons that in fact the trial could not deal with a true sense of justice.The crimes were so heinnous that the penal code was inadequate to address them.The prosection's hands were tied and a mere 6500 were charged. It was too little too late.S.J.Tagliareni author of Hitler's Priest,"In 1963, West Germany was gripped by a dramatic trial of former guards who had worked at the Nazi death camp Auschwitz. It was the largest and most public trial to take place in the country and attracted international attention. Using the pretrial files and extensive trial audiotapes, Rebecca Wittmann offers a fascinating reinterpretation of Germany's first major attempt to confront its past. Evoking the courtroom atmosphere, Wittmann vividly recounts the testimony of survivors, former SS officers, and defendants--a cross-section of the camp population. Attorney General Fritz Bauer made an extraordinary effort to put the entire Auschwitz complex on trial, but constrained by West German murder laws, the prosecution had to resort to standards for illegal behavior that echoed the laws of the Third Reich. This provided a legitimacy to the Nazi state. Only those who exceeded direct orders were convicted of murder. This shocking ruling was reflected in the press coverage, which focused on only the most sadistic and brutal crimes, allowing the real atrocity at Auschwitz--mass murder in the gas chambers--to be relegated to the background. The Auschwitz trial had a paradoxical result. Although the prosecution succeeded in exposing SS crimes at the camp for the first time, the public absorbed a distorted representation of the criminality of the camp system. The Auschwitz trial ensured that rather than coming to terms with their Nazi past, Germans managed to delay a true reckoning with the horror of the Holocaust.",['Rebecca Wittmann'],Harvard University Press,['History']
Summer Light,3.0,Summer Light,"I think the book was quite good, however, being a hockey fan I picked up on something. On p53 Luanne says Game 3 also went into overtime, and this time the Oilers won it 2-0. I have discussed this with many people and I don't think it is possible to win a game 2-0 in overtime. The win would be 1-0. I do get upset when authors don't research or have professionals check their work. I can't find an e-mail anywhere for Ms Rice so I am stating my comments here.","When it comes to love and family, the things you can’t see are what matter most of all. Bestselling novelist Luanne Rice has inspired the devotion of readers everywhere with her “rare combination of realism and romance.”(The New York Times Book Review) Now she presents her most magical novel to date, an entrancing story of love at first sight, the true meaning of family, and angels right here on earth. May Taylor works as a wedding planner, passing on the timeless traditions of her grandmother and mother. The Taylor women have always believed in the presence of magic in everyday life--especially the simple magic of true love and family. Yet May’s own faith in true love was shattered when she was abandoned by the father of her child. Still, she finds joy in raising her daughter Kylie, a very special five-year-old who sees and hears things that others cannot. . . Martin Cartier is a professional hockey player and sports legend. His father, a champion, taught him to play to win--at all costs. Now Martin’s success veils a core of heartache, rage, and isolation. Yet Kylie glimpses the transcendent role Martin will play in May’s life and her own--unless his past tears their blossoming love apart. Then only Kylie will see the way home--and only May will be able to lead them there, if she can believe in magic once more.",['Luanne Rice'],Bantam,['Fiction']
Matter and Interactions I: Modern Mechanics,5.0,amazing!,"I had the privilege of learning freshmen physics from the authors. The authors and their book present a new way of learning physics. Although the exercises are nontraditional, I find them to be more insightful than simple &quot;plug and chug&quot; problems.",,"['Ruth W. Chabay', 'Bruce A. Sherwood']",John Wiley & Sons,['Science']
Hannibal (Hannibal Lecter),1.0,So sorry you were in need of money Tom,"What a monumental let down. After the brilliant Silence of the Lambs, and Red Dragon, you give us this? Thanks. I think I'll pass on your next one. I bought this because I figured that it would be even better than those 2. I thought wrong. If I could give it no stars I would","You remember Hannibal Lecter: gentleman, genius, cannibal. Seven years have passed since Dr. Lecter escaped from custody. And for seven years he's been at large, free to savor the scents, the essences, of an unguarded world. But intruders have entered Dr. Lecter's world, piercing his new identity, sensing the evil that surrounds him. For the multimillionaire Hannibal left maimed, for a corrupt Italian policeman, and for FBI agent Clarice Starling, who once stood before Lecter and who has never been the same, the final hunt for Hannibal Lecter has begun. All of them, in their separate ways, want to find Dr. Lecter. And all three will get their wish. But only one will live long enough to savor the reward.... From the Paperback edition.",['Thomas Harris'],Delta,['Fiction']
MCSE Test Success (TM): Networking Essentials,5.0,This book gives you a tremendous amount of information,I started reading this book about two weeks ago and the amount of information about networking is more than enough. It explains every term and networking situations thouroughly. I am studying NT workstations now and if i didn't read this book first i will be very confused with all the networking vocabulary and situations. I recommend this book to anyone who is pursuing an mscse certification. Read this book first and your mcse goal will be a breeze.,"This testing guide covers a core requirement for the MCSE certification (Networking Essentials). The unique, innovative guide provides a method for testing and reinforcing the candidate's knowledge and understanding--with questions more difficult to answer than those the candidates will find on the test. The book includes MCSE test-simulation software on the CD-ROM.",['Todd Lammle'],Sybex,['Computers']
Darkness Over Denmark: The Danish Resistance and the Rescue of the Jews,5.0,Hope in the Darkness,"Bravery, courage, and selflessness, characteristic of the Danish resistance during WWII, are bright glimpses of hope during a dark period of world history. The history of the Danish resistance is recorded chronologically, with individual rescue stories woven throughout. This beautifully rendered acount, including photographs, is printed on thick, rich paper, underscoring the beauty of what was accomplished by the Danish people. Recommended for young adults and adults interested in the topic.",An account of people in Denmark who risked their lives to protect and rescue their Jewish neighbors from the Nazis during World War II.,['Ellen Levine'],,['Denmark']
"The picture of Dorian Gray,",5.0,A Thrilling Read,"I first was introduced to Dorian Gray through a book club, and I thought 'Oh no, Oscar Wilde, here I go, another hard to read boring society book&quot;. I was wrong. Within the first two chapters of Dorian Gray I was intrigued and fascinated. This book deals with several issues that are as important now as they are today: the way our culture worships beauty and youth, an admiration that boarders on homosexual love, virtues, the differences between men and women, and what art is and what makes it truly art. Dorian Gray is a beautiful young man, who sees a portrait of himself and says &quot;How sad it is! I shall grow old, and horrible, and dreadful. But this picture will remain always young...If only it were the other way! If it were I who was to be always young, and the portrait to grow old...I would give my soul for that!&quot; The book takes off from there, leading you from a small theater to great parties. While younger readers may find some of the wording as tough as an old gym shoe, anyone older than 13 with an interest in mystery, romance, and how society runs, will find this a pleasurable and haunting read.",,['Oscar Wilde'],Bernhard Tauchnitz,
Model Rocket Design and Construction: How to Create and Build Unique and Exciting Model Rockets That Work,2.0,get a first edition,This is a really good book for anyone interested in building model rockets. I only give it two stars because the first edition is better. The second edition deletes information and replaces it with buy our software.,,"['Timothy S. Van Milligan', 'Apogee Components, Inc']",,['Rocketry']
Petersburg,4.0,Worth the less than ideal translation,"Nabokov, the translator's introduction triumphantly proclaims, thought Petersburg one the three best books ever written, beside Joyce's Ulysses and Kafka's Metamorphosis. Nabokov, they do not emphasize quite as proudly, was also a native Russian, so he might have had this book a little easier.Truly, this is a masterpiece, even if a little hard to translate. Imagine Ulysses, barely possible to read as it is, translated into another language, and you might come close to the difficulties in navigating through Bely's symbolist playground complete with 50+ pages of endnotes. However, unless you plan on learning Russian sometime very soon, that is no excuse for skipping this novel--certainly the lack of a successful English translation is the only thing that keeps it from joining the ranks of other great Russian novels. The fragile tale of an enchanting yet troubled city and the dancing psyches that inhabit it is well worth any difficulties in translation.","Een jonge vrouw wil in 1914 een medische opleiding volgen in St. Petersburg, maar wordt ze afgewezen vanwege haar gedeeltelijk joodse afkomst.",['Linda Lee Chaikin'],Uitgeverij Kok,
Love and Hydrogen: New and Selected Stories,5.0,John Ashcroft & the creature from the black lagoon,"This is the best short fiction collection I've read in several years. Shepard's stories are both economical and lean--there isn't much here that's over 20 pages long, but Shepard packs into those 20 pages a complexity of theme and character that most writers can't approach even at novella length. It is a dizzying collection, by turns violent, funny, and wrenchingly sad. Shepard writes in a dazzling array of voices, handling each with effortless authority. He is particularly good at adolescents (see also the amazing Project X), but these stories also give voice to a Yugoslav football player, a German test pilot, John Entwhistle, John Ashcroft, and the Creature from the Black Lagoon. Superb.","I’ve been a problem baby, a lousy son, a distant brother, an off-putting neighbor, a piss-poor student, a worrisome seatmate, an unreliable employee, a bewildering lover, a frustrating confidante and a crappy husband. Among the things I do pretty well at this point I’d have to list darts, re-closing Stay-Fresh boxes, and staying out of the way. This is the self-eulogy offered early on by the unwilling hero of the opening story in this collection, a dazzling array of work in short fiction from a master of the form. The stories in Love and Hydrogen—familiar to readers from publications ranging from McSweeney’s to The New Yorker to Harper’s to Tin House—encompass in theme and compassion what an ordinary writer would seem to need several lifetimes to imagine. A frustrated wife makes use of an enterprising illegal-gun salesman to hold her husband hostage; two hapless adult-education students botch their attempts at rudimentary piano but succeed in a halting, awkward romance; a fascinated and murderous Creature welcomes the first human visitors to his Black Lagoon; and in the title story, the stupefyingly huge airship Hindenburg flies to its doom, representing in 1937 mankind's greatest yearning as well as its titanic failure. Generous in scope and astonishing in ambition, Shepard’s voice never falters; the virtuosity of Love and Hydrogen cements his reputation as, in the words of Rick Bass, “a passionate writer with a razor-sharp wit and an elephantine heart”—in short, one of the most powerful talents at work today.",['Jim Shepard'],Vintage,['Fiction']
The Catcher in the Rye [Audiobook] [Cd] [Unabridged] (Audio CD),5.0,I love this book,"The story of Holden Caulfield who drops out of school. He is a mixed up teenager and narrates the novel. He hates &quot;phoniness&quot;, basically the way adults compromise and so lose their ideals and accept that loss and stop searching for the truth. It will change your life. John Lennon was shot by a man who gave his reason as to get more people to read Cather in the Rye.","I’ll Get There. It Better Be Worth the Trip. is best known as the first teen novel to address homosexuality. Set in 1969, Donovan’s seminal tale centers on Davy Ross, a lonely thirteen-year-old who moves to Manhattan to live with his estranged mother. Then he meets a boy and experiences something that changes his life.",['John Donovan'],"North Star Editions, Inc.",['Young Adult Fiction']
The Elementary Forms of Religious Life,5.0,WARNING: THIS EDITION IS ABRIDGED,"Durkheim's ""Elementary Forms of the Religious Life"" is one of the deepest books I've ever read, but I will leave others to speak of that.I would like to complain about this particular edition, the ""Oxford's World Classics"" edition. (This review has apparently been published elsewhere. The edition I'm talking about is a yellow-and-red ""Oxford's World's Classics"" paperback with a black-and-white photo of Durkheim looking off to his left.)I have long been looking to replace my worn-out edition, and thought this offering (published 2001) would answer nicely. (Is it just me, or has this book been plagued with editions that have flimsy binding?)Unfortunately, Amazon buries an important piece of information in its ""Editorial Reviews"" section: this edition is abridged.Now, it's lightly abridged. The original, which I have a hand, is only slightly longer than what you're getting here.Which is what puzzles me: why did they bother to abridge this at all? Printing the entire text would only have added about 30 pages to the thing. The lines they have disincluded seem, at least upon my examination, no more irrelevant or abstruse than what they've decided to include.Puzzling.There are some good things about this edition, though. There are explanatory footnotes at the end of the text: useful glosses, not those ""textual comparison"" kind. (The footnotes on the bottom of each page are Durkheim's own.) There is a 29-page introduction. There is also an ethnographic map of Australia. But the biggest plus for me is that the (paperback) binding is super-sturdy and promises to last through many reads.This is the translation by Carol Cosman, done in 2001 specifically for this edition.","In The Elementary Forms of Religious Life, Durkheim investigated the enduring source of human social identity and fellowship by studying the simplest form of documented religion, totemism among the Aborigines of Australia. His book about the origin and nature of religion and society continues to enthrall sociologists, anthropologists, ethnographers, philosophers, and theologians.",['Émile Durkheim'],Oxford Paperbacks,['Religion']
Hinds' Feet on High Places,5.0,Delightful read,"This was a recommended read by one of my Sunday School leaders to our class that is comprised of women over 21 years of age. At that time, it was revealed that several women in our class had already read this book...several times. They highly recommended it too; and now, I would HIGHLY recommended it as an inspirational allegory writing.","Much-Afraid had been in the service of the Chief Shepherd, whose great flocks were pastured down in the Valley of Humiliation. She lived with her friends and fellow workers Mercy and Peace in a tranquil little white cottage in the village of Much-Trembling. She loved her work and desired intensely to please the Chief Shepherd, but happy as she was in most ways, she was conscious of several things which hindered her in her work and caused her much secret distress and shame. Here is the allegorical tale of Much-Afraid, an every-woman searching for guidance from God to lead her to a higher place.",['Hannah Hurnard'],Simon and Schuster,['Fiction']
Lion and the Black,5.0,Lion and the Black,"What a great Romance Adventure story, couldn't put it down. The first book other than a text book, that I went cover to cover, since required reading in college. Waiting for the next installment. Thanks Kirk, it was a treat to read a Romance story even a man could enjoy.","My name is Sicelo Cabangani Mbatha. My wilderness name is Black Lion. I am the black lion who helps people discover the wild animal within. I am the black lion who roars for peace and harmony on Great Mother Earth. I am the black lion, alive in the wilderness. Wilderness guide Sicelo Mbatha shares the wisdom he has gained from a lifetime’s intimate association with Africa’s wildest nature. The story begins with a traumatic childhood experience that should have turned Sicelo against the surrounding wilderness. Instead, he was irresistibly drawn to it. As a volunteer at Hluhluwe-iMfolozi Park, close encounters with buffalo, lion, elephant and other animals taught him to see with his heart and set him on a lifelong journey of spiritual awakening. Drawing from his Zulu culture and his own yearning to better understand humanity’s relationship with itself and with nature, Sicelo has forged a new path, disrupting the conventional approach to nature with an immersive, respectful and transformative way of being in the wilderness. Both memoir and philosophical reflection, Black Lion – co-written with author and environmentalist Bridget Pitt – is a reminder of how much we need the wilderness for our emotional and spiritual survival. ‘A remarkable story ... poetic and beautifully written. It goes to the heart of the meaning of ecological literacy.’ – DR IAN McCALLUM, SPECIALIST WILDERNESS GUIDE","['Sicelo Mbatha', 'Bridget Pitt']",Jonathan Ball Publishers,['Biography & Autobiography']
Studies in classic American literature,5.0,American Genius Loci,Useful book to understand America.Terrific.And there's more to come....,"""Studies in Classic American Literature"" by D. H. Lawrence. Published by Good Press. Good Press publishes a wide range of titles that encompasses every genre. From well-known classics & literary fiction and non-fiction to forgotten−or yet undiscovered gems−of world literature, we issue the books that need to be read. Each Good Press edition has been meticulously edited and formatted to boost readability for all e-readers and devices. Our goal is to produce eBooks that are user-friendly and accessible to everyone in a high-quality digital format.",['D. H. Lawrence'],Good Press,['Art']
Companions of the Night,5.0,Best romance/horror/vampire book EVER,"When I read The Silver Kiss (Annette Curtis Klause), I was positive that it couldn't get any better than that. I was wrong. This book definitely takes the cake in it's genre. When Kerry, an average 16-year-old, with a learner's permit and a Mom who abandoned her family, grudgingly drives to a laundromat late at night to retrieve her little brother's stuffed koala bear, she unknowingly gets involved with a world of mystery and vampires when she meets Ethan, gagged and bloddied, and suspected of being a vampire by a group of vamp hunters. Which, of course isn't a good thing for Ethan. Her beliving there are no such thing of vampires, she helps him escape, and she assumes she'll never see him again. She's wrong. When her family goes missing, Ethan is the only one who can help her find them, and Kerry is the only one who can help Ethan get the revenge he wants on the vamp hunters. Things get more complicated when Kerry realizes she's fallen in love with Ethan, and... oh yeah, he really IS a vampire. The characters are well developed, and the plot has tons of twists. The many facades and uncertainties that surround Ethan will keep you guessing throughout the whole book. if you like vampires and romance, buy. This. Book. Now. I cried at the end, probably due a combination of the way the book touched me so deeply, and the fact that there is no sequel yet. Because, not to give away the ending, but it is wide open for a sequel. Unfortunately, it was written in 95', and we're still waiting ....but I haven't lost hope! Good luck trying not to read it in one sitting ;-).","The Edgar Award–winning author of Never Trust a Dead Man puts a terrifying spin on what should be a typical night in a small town. Sixteen-year-old Kerry has got a tough night ahead of her. What begins as a simple lost-and-found trip to the laundromat to rescue her little brother’s stuffed koala bear turns into a nightmarish odyssey of murder, vampires, and—quite possibly—true love. “Interview with a Vampire for the learner's permit set.” —The Horn Book “A freshly written thriller, an offbeat love story, an engaging twist on the vampire novel, and an exciting tale of moral complexity . . . . Point [this] book at the Lois Duncan fans as well as Anne Rice followers, and get out of the way.” —The Bulletin “[Vande Velde] is a master at taking traditional fairy-tale-like themes and making them fresh and totally unique. Companions of the Night . . . does that for the vampire story . . . . The narrative is tightly wound, keeping readers ready for excitement and action.” —Emma Carbone, New York Public Library",['Vivian Vande Velde'],Houghton Mifflin Harcourt,['Young Adult Fiction']
"Hello, My Name Is Mommy : The Dysfunctional Girl's Guide to Having, Loving (and Hopefully Not Screwing Up) a Baby",2.0,"Stick With the Radio Show, Or Use the Library Instead","I'm not that impressed with this book. I, too, listen to Bob & Sheri in the morning, and I've always enjoyed Sheri's view and the way she gets her point across. So when I learned that she wrote a book, I checked my library (no luck - they're very slow getting new releases), and then bought it while on vacation for my long airplane ride.The thing about Sheri's radio show is that she's funny, but a lot of it is in the delivery. Her book is exactly like her show (she writes the way she talks); only it doesn't come across very well in writing. And that's not good reading, either.She touches on the basics of pregnancy and having a newborn, and I agree with a lot of what she says, and can relate to her stories. But I don't get who a ""Misfit"" is, exactly. First she describes a Misfit as a woman who had a horrible childhood, or bad role models growing up, or something awful. But within the meat of her chapters, it seems that a Misfit if Every Woman (news flash: not every woman had to visit her parents in jail growing up, but we still have the same worries about pregnancy and birth that MOST women have!).If you're as much as a control freak as you say you are, Sheri, you're reading this review right now (hi!), so don't stop here. I'd love to read more about radio life. My favorite parts of your book were the true-life stories about how you were treated and the things you experienced (comments from callers, getting sick in the bathroom where your co-workers butt just sat, pumping milk through a two-song set). I urge you to write a book ABOUT your job and how you juggle a family... I've heard your newest baby on air before (in the background); tell us how you were able to get that kind of privilege. Help the rest of us have the same perks you enjoy. You are helping introduce that kind of lifestyle into the work world, so keep it up.Barb","Hilarious and true and inspirational, Hello, My Name is Mommy is for every pregnant woman and new mother who ever felt helpless and out of control instead of confident and aglow. Sure, women know pregnancy is no bed of roses, but Lynch taps into her own dysfunctional childhood and fears about becoming a mom to label a much profounder worry many moms-to-be have: that their own pasts were so screwed up that they're doomed to repeat the cycle. Dr. Spock may tell moms to trust their instincts, but Lynch's Misfit Mommies want to do every last thing but that. They feel like frauds and imposters, and Lynch's real-girl's voice will be instantly recognizable to them. Lynch will walk and talk new moms through it all: from lamenting the hot dogs and second-hand smoke they were raised on (and, of course, ""you turned out just fine"") to the realization that kids are kind of germy and gross (but feeling that way doesn't make one a bad mother) to keeping it together at work with Cheerios in the old nursing bra.",['Sheri Lynch'],St. Martin's Griffin,['Humor']
Superlearning 2000,5.0,It works,I'm a student and this book has helped me immeasurably. It will change your whole perception of learning.,"“A marvelous resource for those who do not want to be limited by their beliefs. Read and learn about human potential, yours and mine.”—Bernard Siegel, M.D., author of Love, Medicine & Miracles Speak Russian like a native, play tennis like a pro . . . and meet the challenges of a high-tech world with high-powered memory skills! Superlearning 2000 is the fast, fun, and innovative learning technique that enables you to master any skill or subject—from computers to athletics to conversational French—in a fraction of traditional learning time. Hailed by the Fortune 500 as the mental technology of the future, proven by super-achievers around the world, this revolutionary program will unlock your limitless potential, put you on the fast track to new opportunities and higher earnings . . . change forever the way you think about learning! Discover: • How you can fine-tune your memory and learn anything 2 to 5 times faster simply by tuning in to the right kind of music • Which world-class mental techniques enhance athletic performance • The step-by-step Superlearning techniques that keep you in step with technology • How you can overcome learning blocks . . . and even learning disabilities • How to boost creativity, rev up recall, and acquire expert know-how in any field while you relax!","['Sheila Ostrander', 'Lynn Schroeder']",Dell,['Education']
The Winter Queen,4.0,A young policeman investigates deaths in nineteenth century Czarist Russia.,"This period novel is mostly to be appreciated for its atmosphere. It is set in Czarist Russia with a brief detour to nineteenth century London. Erast Fandorin, a minor functionary in the Imperial police, investigates a series of curious suicides/murders. Successes lead to rapid advancement and promotion within the service. It is the first book in a series about Fandorin's adventures. The style reminded me a little of The Three Musketeers and other Dumas novels, with regard to the use of helpful coincidences. It also resembles some of the writing of Arturo Perez-Reverte which captures the atmosphere of period Spain. Most fascinating was the description of the hierarchy of Russian society. An appendix lists thirteen ranks with civil and military equivalents, so readers do not get lost. The international conspiracy elements, on the other hand, struck me as anachronistic, speaking more to a modern paranoia. Interestingly, the book is politically disengaged. Perhaps avoiding politics and religion is the best way to retain readers. The Soviet Revolution is looming yet neither rich nor poor express monarchist, revolutionary or any religious sentiments. Apart from these criticisms it is a fine read for lovers of historic novels and international literature.","The thrilling family saga of five unforgettable women who remade Europe From the great courts, glittering palaces, and war-ravaged battlefields of the seventeenth century comes the story of four spirited sisters and their glamorous mother, Elizabeth Stuart, granddaughter of the martyred Mary, Queen of Scots. Upon her father's ascension to the illustrious throne of England, Elizabeth Stuart was suddenly thrust from the poverty of unruly Scotland into the fairy-tale existence of a princess of great wealth and splendor. When she was married at sixteen to a German count far below her rank, it was with the understanding that her father would help her husband achieve the kingship of Bohemia. The terrible betrayal of this commitment would ruin ""the Winter Queen,"" as Elizabeth would forever be known, imperil the lives of those she loved, and launch a war that would last for thirty years. Forced into exile, the Winter Queen and her family found refuge in Holland, where the glorious art and culture of the Dutch Golden Age indelibly shaped her daughters' lives. Her eldest, Princess Elizabeth, became a scholar who earned the respect and friendship of the philosopher René Descartes. Louisa was a gifted painter whose engaging manner and appealing looks provoked heartache and scandal. Beautiful Henrietta Maria would be the only sister to marry into royalty, although at great cost. But it was the youngest, Sophia, a heroine in the tradition of a Jane Austen novel, whose ready wit and good-natured common sense masked immense strength of character, who fulfilled the promise of her great-grandmother Mary and reshaped the British monarchy, a legacy that endures to this day. Brilliantly researched and captivatingly written, filled with danger, treachery, and adventure but also love, courage, and humor, Daughters of the Winter Queen follows the lives of five remarkable women who, by refusing to surrender to adversity, changed the course of history.",['Nancy Goldstone'],"Little, Brown",['Biography & Autobiography']
Rab and his friends,5.0,A Very Sweet Story,"This tale is sweet and heartwarming, but be forewarned that it is VERY short. I read it in only a couple minutes. It is bittersweet and touching, not a &#34;happy ending&#34; story, but worthwhile reading.",,['John Brown'],,['Dogs']
